Simulation error	Error en la simulación
Additional cost for each animal vaccinated beyond the threshold (per animal):	Costo adicional por cada animal vacunado pasado el umbral (por animal):
Cost of site setup (per unit):	Costo de configuración del sitio (por unidad):
Baseline vaccination cost (per animal):	Costos de vacunación basal (por animal):
Number of animals that may be vaccinated before the cost increases:	Número de animales que pueden ser vacunados antes de que aumenten los costos:
Destruction costs:	Costos de destrucción:
Vaccination costs:	Costos de vacunación:
$	$
(Destruction is not used with the selected production type.)	(No se usa destrucción con el tipo de producción seleccionada.)
(Vaccination is not used with the selected production type.)	(No se usa vacunación con el tipo de producción seleccionada.)
Zone description	Descripción zonal
Cost of surveillance per animal per day:	Costo de vigilancia por animal por día:
The NAADSM Development Team:	Equipo de desarrollo del modelo NAADSM:
Primary contact (US):	Contacto primario (US):
Barbara A. Corso	Barbara A. Corso
USDA-APHIS-VS-CEAH	USDA-APHIS-VS-CEAH
2150 Centre Ave., Bldg. B, Mail Stop 2W4	2150 Centre Ave., Bldg. B, Mail Stop 2W4
Fort Collins, CO 80526-8117	Fort Collins, CO 80526-8117
Barbara.A.Corso@aphis.usda.gov	Barbara.A.Corso@aphis.usda.gov
Primary contact (Canada):	Contacto primario (Canada):
Caroline Dubé	Caroline Dubé
CFIA-Animal Health and Production Division	CFIA-Animal Health and Production Division
59 Camelot	59 Camelot
Ottawa, ON K1A 0Y9	Ottawa, ON K1A 0Y9
dubecm@inspection.gc.ca	dubecm@inspection.gc.ca
Technical support (Windows/PC):	Apoyo técnico (Windows/PC):
Aaron Reeves	Aaron Reeves
Aaron.Reeves@colostate.edu	Aaron.Reeves@colostate.edu
Animal Population Health Institute	Animal Population Health Institute
Colorado State University	Colorado State University
Technical support (Parallel processing):	Apoyo técnico (procesamiento paralelo):
Neil Harvey	Neil Harvey
nharvey@uoguelph.ca	nharvey@uoguelph.ca
Department of Computing && Information Science	Department of Computing && Information Science
University of Guelph	University of Guelph
Kim N. Forde-Folle	Kim N. Forde-Folle
Ashley E. Hill	Ashley E. Hill
Ann H. Seitzinger	Ann H. Seitzinger
USDA-APHIS-VS-CEAH-NCAHS-NAHMS	USDA-APHIS-VS-CEAH-NCAHS-NAHMS
Deborah A. Stacey	Deborah A. Stacey
W. Bruce McNab	W. Bruce McNab
Ministry of Agriculture Food and Rural Affairs	Ministry of Agriculture Food and Rural Affairs
Province of Ontario	Province of Ontario
M.D. Salman	M.D. Salman
Additional programming:	Programación adicional:
Shaun P. Case	Shaun P. Case
Department of Computer Science	Department of Computer Science
Snehal Shetye	Snehal Shetye
Department of Mechanical Engineering	Department of Mechanical Engineering
Former development team members:	Miembros anteriores del equipo de desarrollo:
Mark A. Schoenbaum	Mark A. Schoenbaum
USDA-APHIS-VS-WRO	USDA-APHIS-VS-WRO
Francisco Zagmutt-Vergara	Francisco Zagmutt-Vergara
3-D View	Vista 3-D
Use destruction for disease control for some or all production types	Usar destrucción para controlar la enfermedad en algunos o todos los tipos de producción
Destruction capacity (units per day over time):	Capacidad de destrucción (unidades por día a través del tiempo):
Delay before implementing destruction program (days):	Demora previa a la implementación del programa de destrucción (días):
Ring radius (km):	Radio de anillo (km):
(Diseased units of this production type will be destroyed if detected)	(Unidades enfermas de este tipo de producción serán destruidas si son detectadas)
(Units of this and/or other types may be pre-emptively destroyed if they are within the specified ring)	(Unidades de este y/u otros tipos pueden ser destruidas prioritariamente si están dentro del anillo especificado)
* Tracing must be conducted for this type, or this option will be unavailable	* Debe conducir rastreo para este tipo de producción, o esta opción no estará disponible
Destroy detected diseased units of this production type	Destruir unidades enfermas detectadas de este tipo de producción
Pre-emptively destroy units of this production type	Destruir prioritariamente unidades de este tipo de producción
Destroy units of this production type that have had DIRECT contact with a detected unit as identified by tracing*	Destruir unidades de este tipo de producción que han estado en contacto DIRECTO con una unidad detectada por el rastreo*
Destroy units of this production type that have had INDIRECT contact with a detected unit as identified by tracing*	Destruir unidades de este tipo de producción que han estado en contacto INDIRECTO con una unidad detectada por rastreo*
Destroy units of this type when they are within a destruction ring around any unit that is a ring trigger	Destruir unidades de este tipo de producción cuando estén dentro de un anillo de destrucción alrededor de cualquier unidad que sea el disparador del anillo
Trigger ring destruction around detected units of this production type	Desencadenar destrucción en anillo alrededor de unidades detectadas de este tipo de producción
Model disease detection in this production type	Modelar detección de la enfermedad en este tipo de producción
Probability of observing clinical signs, given the number of days that a unit is clinically infectious:	Probabilidad de observar signos clínicos, dado el número de días en que una unidad es clinicamente infecciosa:
Probability of reporting an observed clinical unit, given the number of days since disease was first detected in any unit:	Probabilidad de reportar una unidad clínica observada, dado el número de días desde que la enfermedad fue detectada por primera vez en cualquier unidad:
Simulate disease progression in units of this production type	Simular el progreso de la enfermedad en las unidades de este tipo de produccion
Immune period:	Período inmune:
Infectious clinical period:	Período clínico infeccioso:
Infectious subclinical period:	Período subclínico infeccioso:
Latent period:	Período latente:
Within-unit prevalence:	Prevalencia dentro de la unidad:
* In the course of a simulation run, these activities may occur more than once on a single unit	* En el curso de una simulacione, estas actividades pueden ocurrir más de una vez en una sola unidad
Detection and Tracing	Detección y Rastreo
Apparent Epidemic Curve -- includes only detected infections	Curva epidémica aparente -- sólo incluye infecciones detectadas
Reasons for infection -- includes all infections	Razones para infección -- incluye todas las infeciones
Actual Epidemic Curve -- includes all infections	Curva epidémica real -- incluye todas las infecciones
(Change this message)	(Change this message)
Order	Orden
Unit size:	Tamaño de unidad:
Production type:	Tipo de producción:
Days left in state:	Días a permanecer en ese estado:
Please specify a geographic range.	Por favor, especifique un rango geográfico.
Remove unit	Remover unidad
ID	ID
xxxUnused Unit size	Tamaño de unidad
Latitude	Latitud
Longitude	Longitud
Geographic range	Rango geográfico
Specific latitude	Latitud específica
Specific longitude	Longitud específica
Days left in state	Días a permanecer en ese estado
Select an output above to display this chart	Seleccionar resultados arriba para mostrar en este gráfico
Histogram	Histograma
Convergence	Convergencia
Show cumulative costs	Mostrar costos acumulativos
Itemized destruction costs	Costos de destrucción itemizados
Itemized vaccination costs	Costos de vacunación itemizados
Appraisal	Tasación
Cleaning and disinfection	Limpieza y desinfección
Euthanasia	Eutanasia
Indemnification	Indemnificación
Disposal	Descarte
Destruction subtotal	Subtotal de destrucción
Site setup	Establecimiento de los predios
Vaccination subtotal	Subtotal de vacunación
Total costs	Costos totales
95th percentile	95 percentil
75th percentile	75 percentil
50th percentile (median)	50 percentil (media)
25th percentile	25 percentil
5th percentile	5 percentil
Cumulative data	Datos acumulativos
Days before detection:	Días antes de la detección:
Probability of trace success (0 to 1):	Probabilidad de éxito de rastreo (0 a 1):
Trace-forward (trace-out) investigations	Investigaciones de rastreo prospectivo
NAADSM regional settings	
CSV import/export	
Decimal symbol:	
Trace direct contacts	Rastrear contactos directos
Trace indirect contacts	Rastrear contactos indirectos
Use tracing for some or all production types	Usar rastreo para algunos o todos los tipos de producción
Use vaccination for disease control for some or all production types	Usar vacunación para control de enfermedad para algunos o todos los tipos de producción
Vaccination capacity (units per day over time):	Capacidad de vacunación (unidades por dia a través del tiempo):
How many diseased units (of any production type) must be detected before the vaccination program begins?	¿Cuántas unidades enfermas (de cualquier tipo de producción) deben ser detectadas antes de comenzar el programa de vacunación?
Radius of vaccination ring (km):	Radio del anillo de vacunación (km):
Trigger a vaccination ring upon disease detection in units of this production type	Desencadenar un anillo de vacunación al detectar enfermedad en unidades de este tipo de producción
Vaccinate units of this production type as part of disease control efforts	Vacunar unidades de este tipo de producción como parte de los esfuerzos para el control de la enfermedad
Vaccine immune period:	Período de inmundad vacunal:
Delay in unit immunity following vaccination (days):	Demora en inmunidad de la unidad luego de vacunación (días):
Minimum time between vaccinations (days):	Tiempo mínimo entre vacunaciones (días):
Creating (triggering) zones	Creando (desencadenando) zonas
Indirect tracing of units of this type triggers a zone focus	Rastreo indirecto de unidades de este tipo de producción desencadena un foco zonal
Direct tracing of units of this type triggers a zone focus	Rastreo directo de unidades de este tipo de producción desencadena un foco zonal
Detection of infected units of this type triggers a  zone focus	Detección de unidades infectadas de este tipo de producción desencadena un foco zonal
Alter direct movement rate for this production type in this zone	Alterar la tasa de movimiento directo  para este tipo de producción en esta zona
Effect on baseline direct movement rate from units of this type:	Efecto en la tasa de movimiento directo basal desde unidades de este tipo de producción:
Alter indirect movement rate for this production type in this zone	Alterar tasa de movimiento indirecto para este tipo de producción en esta zona
Effect on baseline indirect movement rate from units of this type:	Efecto en la tasa de moviento indirecto desde unidades de este tipo de producción:
Alter the probability of detection for this production type in this zone	Alterar la probabilidad de detección para este tipo de producción en esta zona
Multiplier for the probability of observing clinical signs: (Note: probability of reporting an observed clinical unit within a zone is 1.)	Multiplicador para la probabilidad de observación  de síntomas clínicos: (Nota: la probabilidad de reportar una unidad clínica observada dentro de una zona es 1.)
(Unitless)	(Sin unidad)
Per day	Por día
Degrees	Grados
Units per day	Unidades por día
US dollars	Dólares estadounidenses
Percent	Por ciento
Axis units unspecified	Unidades del eje no especificadas
Beta	Beta
All values must be specified.	Todos los valores deben ser especificados.
BetaPERT	BetaPERT
(Unspecified)	(No especificado)
Fixed value	Valor fijo
Triangular	Triangular
Gaussian (normal)	Gaussiana (normal)
Piecewise (general)	General
Uniform	Uniforme
Gamma	Gamma
Weibull	Weibull
Exponential	Exponencial
Pearson 5	Pearson 5
Logistic	Logística
Loglogistic	Loglogística
Lognormal	Lognormal
Poisson	Poisson
Alpha1 and alpha2 must be greater than 0.	Alfa 1 y alfa 2 deben ser mayor que 0.
Min must be equal to or greater than 0.	Mín debe ser igual o mayor que 0.
Min must be less than max.	Mín deber ser menor que máx.
Values must be greater than or equal to 0.	Valores deben ser mayor o igual a 0.
The minimum value must be less than the mode, which must be less than the maximum.	El valor mínimo debe ser menor que el modo, el que a su vez debe ser menor que el máximo.
Gaussian	Gaussiana
Piecewise	General
Point	Punto
Function type is unspecified.	El tipo de función no está especificado.
Mean must be specified.	La media debe ser especificada.
Mean must be greater than or equal to 0.	La media debe ser mayor o igual a 0.
The specified beta value is too small for practical calculation.	El valor beta especificado es demasiado pequeño para un cálculo  práctico.
The specified alpha value is too small for practical calculation.	EL valor alfa especificado es demasiado pequeño para un cálculo práctico.
Standard deviation must be greater than 0.	La desviación estándar debe ser mayor que 0.
Scale must be greater than 0.	La escala debe ser mayor que 0.
Scale and shape must be greater than 0.	La escala y figura deben ser mayor que 0.
Mean, standard deviation, and sigma'' must be greater than 0.	La media, el desvío estándar, y sigma deben ser mayor que 0.
Beta must be greater than 0.	Beta debe ser mayor que 0.
Alpha must be greater than 1.	Alfa debe ser mayor que 1.
There are too few points to specify this function.	Hay muy pocos puntos para especificar esta función.
Value must be specified.	El valor debe ser especificado.
Value must be equal to or greater than 0.	El valor debe ser igual o mayor que 0.
Please enter a file name.	Favor de entrar un nombre de archivo.
Missing file name	Falta el nombre de archivo
Please make a selection from the buttons below.	Por favor, seleccione de entre los botones abajo.
Please enter a positive number of histogram bins.	Favor de entrar un número positivo de compartimientos de histograma.
Invalid entry	Entrada no válida
Clipboard data is not in text format: points could not be imported.	Los datos del portapapeles no están en formato de texto: los puntos no pudieron ser importados.
Cannot import points	Los puntos no pueden importarse
The file xyz could not be opened: it may be in use by another application.	El archivo xyz no se pudo abrir: puede estar siendo usado por otra aplicación.
Parsing failed	El análisis ha fallado
The contents of xyz could not be parsed.  Please check that you are using comma-delimited data.	El contenido de xyz no pudo ser analizado.  Por favor, verifique que haya usado datos delimitados por comas.
The contents of xyz are missing the "x" column and/or the "y" column.  Please check your data format.	Al contenido de xyz le faltan la columna "x" y/o la columna "y".  Favor de cotejar el formato de sus datos.
The contents of xyz could not be parsed: a negative or nonnumeric value was found on line zxy.  Please check your data format.	El contenido de xyz no pudo ser analizado: un valor negativo o no numérico ha sido encontrado en la línea zxy.  Por favor, verifique el formato de sus datos.
'The contents of xyz could not be parsed: an error occurred at or near line zyx.  Please check your data format.	'El contenido de xyz no pudo ser analizado: ha ocurrido un error en o cerca de la línea zyx.  Por favor, verifique el formato de sus datos.
There are too few points for this type of function.  Points cannot be imported.	Hay muy pocos puntos para este tipo de función.  Los puntos no pueden ser importados.
X values are not ordered from smallest to largest.  Points cannot be imported.	Los valores de x no están ordenados de más pequeño a más grande.  Los puntos no pueden ser importados.
First and last y values for a general/piecewise PDF must be 0.  Points cannot be imported.	El primer y último valor para un FDP de distribución general debe ser 0.  Los puntos no pueden ser importados.
zyx points were written to file xyz.	Los puntos zyx se escribieron al archivo xyz.
File xyz could not be written.	El archivo xyz no pudo ser escrito.
Points could not be written to file xyz.	Los puntos no pudieron ser escritos al archivo xyz.
zyx points were copied to the clipboard.	Los puntos zyx fueron copiados al portapapeles.
Points could not be exported to the clipboard.	Los puntos no pudieron ser exportados al portapapeles.
This chart has been successfully saved to xyz.	Este gráfico ha sido guardado exitosamente en xyz.
This chart could not be saved to xyz.	Este gráfico no pudo ser guardado en xyz.
The chart has been sent to the selected printer.	Este gráfico ha sido enviado al  impresor seleccionado.
The chart could not be printed.	El gráfico no pudo ser impreso.
This chart has been successfully copied to the clipboard.	Este gráfico ha sido copiado exitosamente al portapapeles.
This chart could not be copied to the clipboard.	Este gráfico no pudo ser copiado al portapapeles.
The function type is unspecified, or the parameters are not valid for the specified type.  Please correct this problem and try again.	El tipo de  función  no está specificado, o los parámetros no son válidos para el tipo especificado. Favor de corregir el problema y tratar otra vez.
No function or invalid parameters	Ninguna función o parámetros no válidos
Function parameters are not valid for the specified type.  Please correct this problem and try again.	Los parámetros de la función no son válidos para el tipo especificado.  Favor de corregir este problema y tratar otra vez.
Invalid function parameters	Parámetros de función inválidos
Please enter a name for this function.	Favor de entrar un nombre para esta función.
No name provided	Ningún nombre ha sido provisto
This is a read-only chart: it may be viewed, exported or printed, but not modified.	Este es un gráfico inalterable: puede ser visto, exportado e impreso, pero no puede ser modificado.
Chart editor	Editor de gráficos
Drag points with the left mouse button to reposition them.	Arrastre los puntos con el botón secundario del ratón para reposicionarlos.
Right click on points to remove or edit the position of a point.	Hacer clic con el botón secundario del ratón para remover o editar la posición de un punto.
Right click on a position to create a new point.	Hacer clic con el botón secundario del ratón en una posición para crear un nuevo punto.
Drag points off the chart to expand the axes.	Arrastre los puntos afuera del gráfico para expandir los ejes.
Alternatively, edit the point values in the grid shown on the left side of the screen.	Alternativamente, edite los valores de puntos en la rejilla mostrada en el lado izquierdo de la pantalla.
Click 'OK' to apply your changes.	Hacer clic en 'OK' para aplicar sus cambios.
Select a type of probability density function from the list, and enter all of the required parameters.	Seleccione un tipo de función de probabilidad de densidad de la lista, y entre todos los parámetros requeridos.
Click on the green checkmark to apply the changes and view the function.	Hacer clic en la marca de cotejo verde pata aplicar los cambios y ver la función.
If no chart is displayed, correct the problems described in the error message shown on the right side of the window.	Si el gráfico no aparece, corrija los problemas descritos en el mensaje de error mostrado  en el lado derecho de la ventana.
There are not enough points to specify this function.	No hay suficientes puntos para especificar esta función.
A default set of points will be created.	Se creará un conjunto de puntos
Too few points	Muy pocos puntos
At least one Y value is outside the range allowed for this function	Al menos un valor Y está afuera del rango permitido para esta función
to	para
All such values will be adjusted.	Todos esos valores serán ajustados.
Invalid Y values	Valores Y inválidos
Please finish editing the current probability density function before attempting this operation.	Por favor, termine de editar la función de probabilidad de densidad actual antes de tratar esta operación.
This program is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version.  For complete license details, please see below.	Este programa es gratuito; usted puede redistribuirlo y/o modificarlo bajo los términos del Licencia Pública General GNU según publicado por la Free Software Foundation; ambas,  la versión 2 de la licencia, o (a su opción) cualquier otra versión posterior.  Para detalles completos de licencia, por favor vea a continuación.
Copyright © 2003 - 2007 Animal Population Health Institute at Colorado State University and University of Guelph	Derechos de autor © 2003 - 2007 Animal Population Health Institute at Colorado State University and University of Guelph
It appears that you may not have not registered your copy of NAADSM.  Registration is a good way to stay in touch with the NAADSM Development Team.  The process is simple, and registered users will be updated periodically regarding new releases and features.	Parece ser que usted no ha registrado su copia de NAADSM. Registrarse es una buena manera de mantenerse en contacto con el equipo de desarrollo de NAADSM. El proceso es simple y los usuarios registrados serán actualizados periodicamente con respecto a nuevas descargas y características.
Please select a registration option:	Por favor, seleccione una opción de registro:
Go to NAADSM website to register now	Vaya a la página de internet de NAADSM para registrarse ahora
Remind me again later	Recuérdemelo más tarde
I have already registered	Ya estoy registrado
Skip registration	Saltar el registro
Items to save:	Items a guardar:
Items to copy:	Items a copiar:
An updated version	Una versión actualizada
of NAADSM is available: you are currently using version	de NAADSM está disponible: actualmente usted está usando la versión
This is a critical update: it corrects programming bugs or model implementation errors that may result in incorrect calculations or data loss.	Esta es una actualización crítica: corrige errores de programación o errores de implementación de modelos que pueden resultar en cálculos incorrectos o pérdida de datos.
This is an important update: it corrects problems that may cause NAADSM to crash unexpectedly.	Esta es una actualización importante: corrige problemas que pueden causar la caída repentina y total de  NAADSM.
This is not a critical update, but it corrects one or more minor problems or introduces useful new features.	Esta no es una actualización crítica, pero corrige uno o más problemas menores o introduce características nuevas y útiles.
Progress:	Progreso:
Please wait...	Espere, por favor...
of	de
(Locked)	(Bloqueado)
E&xit without saving changes	S&alir sin guardar cambios
(No function is selected)	(Ninguna función ha sido seleccionada)
Version	Versión
Build	Compilación
Proportion of xxx units X 100%	Proporción de xxx unidades X 100%
(Simulation is not loaded)	(Simulación no está cargada)
Chart of status of units, by day, for iteration	Gráfico de estado de unidades, por día, para la repetición
Zone Area in Square Kilometers	Area de zona en kilómetros cuadrados
Animals Days	Días animales
Number of Units	Número de unidades
Number of Animals	Número de animales
Chart of status of zones, by day, for iteration	Gráfico de estado de zonas, por día, para la repetición
Preparing to run simulation...	Preparando para ejecutar la simulación
Simulation interrupted by user: please wait?	Simulación interrumpida por el usuario: por favor espere
Iteration	Repetición
Day 1	Día 1
Map of units, current/final day	Mapa de unidades, día actual/final
(No folder selected)	(Ninguna carpeta ha sido seleccionada)
Scenario parameters: Within-unit prevalence	Parámetros de situación: Prevalencia dentro de la unidad
Disease options	Opciones de enfermedad
Would you like to include WITHIN-UNIT PREVALENCE?	¿Quisiera incluir la PREVALENCIA DENTRO DE LA UNIDAD?
Yes, use within-unit prevalence	Sí, use la prevalencia dentro de la unidad
No, use a specified probability of infection transfer instead	No, en su lugar use una probabilidad de transferencia de infección especificada
Scenario parameters: Detection options	Parámetros de situación: Opciones de detección
Detection options	Opciones de detección
Would you like to include DISEASE DETECTION in simulation runs?	¿Quisiera incluir la DETECCION DE LA ENFERMEDAD en las simulaciones?
Yes, include detection	Sí, incluya detección
No, do not include detection	No, no incluya detección
Scenario parameters: zone options	Parámetros de situación: Opciones de zona
Would you like to include ZONES in simulation runs?	¿Quisiera  incluir ZONAS en simulaciones?
Yes, include zones	Sí, incluya zonas
No, do not include zones	No, no incluya zonas
Scenario parameters: Custom outputs	Parámetros de situación: Resultados personalizados
Would you like to define and use CUSTOM OUTPUTS?	¿Quisiera definir y usar RESULTADOS PERSONALIZADOS?
Yes, use custom output definitions (EXPERIMENTAL FEATURE FOR EXPERTS ONLY)	Sí, use definiciones para resultados personalizados (CARACTERISTICA EXPERIMENTAL SOLO PARA EXPERTOS)
No, do not use custom output definitions	No, no use definiciones para resultados personalizados
(Probability of infection transfer is determined by within-unit prevalence)	(La probabilidad de transferencia de infección está determinada por la prevalencia dentro de la unidad)
Costs associated with zone	Costos asociados con la zona
&Remove selected units	&Remover unidades seleccionadas
&Remove selected unit	&Remover unidad seleccionada
(No units exist in this scenario)	(En esta situación no existen unidades)
Circle with radius	Círculo con radio
Rectangle	Rectángulo
NOT in	NO en
Effect of zone	Efecto de zona
aborted	abortado
complete	completo
Lines:	Líneas:
All Files (*.*)|*.*	Todos los archivos (*.*)|*.*
NAADSM XML (*.xml)|*.xml	NAADSM XML (*.xml)|*.xml
Comma separated values (*.csv)|*.csv	Valores separados por comas (*.csv)|*.csv
Days	Días
Kilometers	Kilómetros
Cannot set PDF	FDP no puede ser establecido
The temporary file xyz could not be deleted.	El archivo temporero xyz no pudo ser borrado.
Fixed contact rates are primarily used for testing purposes.  For most analyses, please specify a mean contact rate.	Las tasas de contacto fijas se usan primariamente para propósitos de prueba.  Para la mayoría de los análisis, favor de especificar una tasa de contacto promedio.
Do not show this message again	No muestre este mensaje de nuevo
Fixed contact rates	Tasas de contacto fijas
The current destruction cost parameters will be applied to all production types, but will have no effect on production types for which destruction is not used.	Los parámetros de costos de destrucción actuales serán aplicados a todos los tipos de producción, pero no tendrán efecto en tipos de producción para los cuales no se use destrucción.
Destruction is not used with all production types	La destrucción no se usa para todos los tipos de producción.
The current vaccination cost parameters will be applied to all production types, but will have no effect on production types for which vaccination is not used.	Los parámetros de costo de vacunación actuales serán aplicados a todos los tipos de producción, pero no tendrán efecto en tipos de producción para los cuales no se use vacunación.
Vaccination is not used with all production types	No se usa vacunación en todos los tipos de producción
Please make sure that every definition includes an output frequency and type.	Por favor, asegúrese de que cada definición incluye  frecuencia y tipo para resultados.
Problem with definition(s)	Problema con definición(es)
Please make sure that every definition includes an SQL statement.	Por favor, asegúrese de que cada definición incluye un declaración SQL.
A definition with this name is already present.	Una definición con este nombre ya existe.
Cannot add output definition	No puede añadirse la definición del resultado
Another output definition with this name is already present.	Ya existe otra definición de resultado con este nombre.
Cannot modify output definition	No puede modificar la definición del resultado
This scenario file could not be written.  Please check your file name and available disk space.	Este archivo de situación no pudo ser escrito.  Por favor, verifique el nombre de su archivo y el espacio disponible en el disco.
Cannot write scenario file	No puede escribir archivo de situación
This unit file could not be written.  Please check your file name and available disk space.	Este archivo de unidades no pudo ser escrito.  Por favor, verifique el nombre de su archivo y el espacio disponible en el disco.
Cannot write unit file	No puede escribir archivo de unidades
The file export process was successful.	El proceso de exportación del archivo fue exitoso.
At least one iteration must be entered.	Debe entrar por lo menos una repetición.
Invalid value	Valor inválido
Please specify a seed value.	Por favor, especifique un valor de semilla
Please enter a valid file name.	Favor de entrar un nombre de archivo válido.
File name is missing	Falta el nombre del archivo
List of units successfully exported to file xyz.	La lista de unidades se exportó exitosamente al archivo xyz
Export success	Exito en la exportación
Export of unit list to file xyz failed.  Please check the file name, your disk space, and your permissions.	La exportación de las lista de unidades al archivo xyz ha fallado. Por favor, revise el nombre del archivo, el espacio en el disco y sus permisos.
Export failed	Exportación fallida
The selected file xyz does not exist.	El archivo xyz seleccionado no existe.
Missing file	Archivo desaparecido
The format of the selected file xyz could not be determined.	No se pudo determinar el formato del archivo xyz seleccionado.
Files must be XML or CSV format	Los archivos deben tener formato XML o CSV.
and file names must have the appropriate three-letter extension.	y los nombres de los archivos deben tener la extensión adecuada de tres letras.
For more information, please see your user''s documentation:	Para más información favor de ver la documentación para el usuario:
Unrecognized file format	Formato de archivo no reconocido
The file xyz could not be parsed.	El archivo xyz no pude ser analizado.
Please check that the file exists, is not open in another application, and is formatted properly.	Por favor, verifique que el archivo existe, que no está abierto en otra aplicación y que tiene el formato adecuado.
File import failed	Falló la importación del archivo
The file xyz was successfully parsed,	El archivo xyz se analizó exitosamente
but contains at least one production type (xyz) that does not exist in this scenario.	pero contiene por los menos un tipo de producción (xyz) que no existe en esta situación.
The unit list cannot be imported.	La lista de unidades no puede ser importada
Missing production type(s)	Falta(n) tipo(s) de producción(es)
New units from xyz have been added to the current list of units.	Nuevas unidades de xyz se añadieron a la actual lista de unidades
Click 'Cancel' to revert to the previous list of units, or any other button to save to new list of units to the scenario database.	Hacer clic en 'cancelar' para revertir a la lista de unidades previa, o hacer clic en cualquier otro botón para guardar la lista de unidades nuevas en la base de datos de la situación
Import success	Importación exitosa
Existing units have been replaced with those from xyz.	Las unidades existentes fueron reemplazadas por las provenientes de xyz
Closing current scenario	Cerrar situación actual
An existing scenario file is currently open. This file will now be closed and a new one created.	Existe un archivo de situación abierto. Este archivo se cerrará y se creará uno nuevo.
An scenario database could not be created: there may be a problem with your parameter file.	No se pudo crear la base de datos de situaciones: puede haber un problema con los parámetros de su archivo.
Please check with the developers for more assistance.	Por favor, consulte con el grupo de desarollo para más asistencia
Import failed	Importación fallida
Please select a database name to use.	Por favor, elija un nombre de base de datos.
Please select an XML file to import.	Por favor, elija un archivo XML para importar.
Please select a file name for the new scenario.	Por favor, elija elnombre de archivo para una nueva situación.
Scenario filename is missing	Nombre de archivo de situación desaparecido
The southern latitude must be less than or equal to the northern latitude.	La latitud sur debe ser menor o igual que la latitud norte.
Invalid latitude range	Rango de latitud inválido
Radius must be greater than 0.	El radio debe ser mayor que 0.
Invalid radius	Radio inválido
Latitudes must be between -90 and 90 degrees.	Las latitudes deben tener entre -90 y 90 grados.
Invalid latitude	Latitud inválida
Longitudes must be between -180 and 180 degrees.	Las longitudes deben tener entre -180 y 180 grados.
Invalid longitude	Longitud inválida
Please close the current scenario file first.	Por favor, cierre primero el actual archivo de situación.
File is open	Archivo abierto
The sample scenario could not be created.	No se ha podido crear la situación de la muestra.
Please check your permissions on the selected folder as well as available disk space.	Por favor, revisar los permisos en la carpeta seleccionada y la capacidad disponible en el disco.
Scenario creation failed	Falla en la creación de la situación.
An empty scenario file has been created. Use the "Scenario parameters" menu to set up the scenario.	Se ha creado un archivo de situación vacia. Use el menú de "Parámetros de situación" para configurar la situación
Scenario file created	Se ha creado el archivo de situación
The current scenario file cannot be saved.	No se puede guardar el archivo de situación actual.
You may need to check your available hard disk space, or close any scenario files that are open in external applications.	Necesita verificar el espacio disponible en el disco duro o cerrar los archivos de situación que se encuentren abiertos en aplicaciones externas.
Cannot save scenario file	No se puede cerrar el archivo de situación
An application error occurred, and the selected scenario file could not be opened.	Ha ocurrido un error en la aplicación y no se pudo abrir el archivo de situación.
Please check with the developers.	Por favor, consulte con el grupo de desarrollo.
Technical information:	Información técnica:
Application error	Error en la aplicación
The selected scenario file xyz does not exist.	El archivo de situación xyz  seleccionado no existe.
Please select another scenario file.	Por favor, seleccione otro archivo de situación.
Cannot open scenario file	No se puede abrir el archivo de situación.
The selected scenario file xyz cannot be opened.	No se puede abrir el archivo de situación xyz elegido.
Please double-check the file format.	Por favor, verifique el formato de archivo
The format of the selected scenario file is out of date, and conversion to the new format requires a separate conversion utility.	El formato del archivo de situación seleccionado se encuentra vencido y su conversión a un nuevo formato requiere un programa separado
For further assistance, please contact the programmers.	Para mayor asistencia por favor contacte a los programadores.
Obsolete scenario file	Archivo de situación obsoleto
This file does not appear to be a valid NAADSM scenario file or may have been created with a newer version of NAADSM.	Este archivo no es un archivo válido de a situación del NAADSM o se ha creado con una versión nueva del NAADSM.
Please select another file.	Por favor, elija otro archivo.
Unrecognized scenario file	Archivo de situación no reconocido
An error occurred, and this database could not be updated (the original file is unchanged).	Ha occurido un error y esta base de datos no ha sido actualizada (el archivo original no ha sufrido cambios)
This version of NAADSM cannot run this scenario.	Esta situación no puede ser corrida en esta versión del NAADSM.
If the problem persists, please contact the developers.	Si el problema persisite,por favor contacte al grupo de desarrollo.
Scenario file update failed	Falla en la actualización del archivo de situación
Scenario file updated	El archivo de situación ha sido actualizado
Please open a scenario file first.	Por favor, abra primero el archivo de situación
No scenario	No hay situación
No problems were detected in this scenario.	No se han detectado problemas con esta situación
Scenario OK	Situación OK.
A required program library cannot be found or is out of date.	La biblioteca de programa requerida no se encuentra o está desactualizada.
While you will be able to create a scenario, you will not be able to run it.	Aunque ha podido crear una situación no podrá correrla.
To solve this problem, please reinstall the application, or check with the developers.	Para resolver este problema instalar la plaicación nuevamente o consultar con el grupo de desarrollo
Temporary files required to launch this simulation were not written.	Los archivos temporarios requeridos para el lanzamiento de esta situación no han sido escritos
Please ensure that you have adequate hard disk space and sufficient permissions to write files to your hard disk.	Por favor, asegúrese de que tiene espacio adecuado y los permisos suficientes para escribir archivos en el disco duro
For further assistance, please contact the developers.	Para asistencia adicional, por favor contacte al grupo de desarrollo
